Model,Accuracy,Precision,Recall,F1-score,Weighted F1-score
Random Forest,0.6737804878048781,0.6944444444444444,0.29296875,0.41208791208791207,0.6329255287267019
Decision Tree,0.6478658536585366,0.6033057851239669,0.28515625,0.38726790450928383,0.6102394118027621
Logistic Regression,0.524390243902439,0.4146341463414634,0.53125,0.4657534246575342,0.5301894897618252
